1   0,2076 GRANDE                  
2   0,2437 GRANDE                  
6   0,8130 GRANDE                   
7   0,3471 GRANDE                  
8   0,5437 GRANDE                  
9   0,3944 GRANDE                  
10  0,1452 GRANDE                 
11  0,2482 GRANDE                 
12  0,2012 GRANDE                 
14  0,8259 GRANDE                 
15  0,7502 GRANDE                 
16  0,2209 GRANDE                 
17  0,5183 GRANDE                 
18  0,4625 GRANDE                 
20  0                             
22  0,3551 PARANAIBA              
23  0,3471 PARANAIBA              
24  1,1582 PARANAIBA              
25  0,9669 PARANAIBA              
28  0,4169 PARANAIBA              
31  0,7027 PARANAIBA              
32  0,2702 PARANAIBA              
33  0,6355 PARANAIBA              
34  0,3869 ALTO PARANA            
37  0,1776 TIETE                  
38  0,1848 TIETE                  
39  0,1737 TIETE                  
40  0,2130 TIETE                   
42  0,2784 TIETE                  
43  0,4025 TIETE                  
44  0                             
45  0,1800 ALTO PARANA              
46  0,1754 BAIXO PARANA           
47  0,2907 PARANAPANEMA (SE)      
48  0,2306 PARANAPANEMA (SE)      
49  0,6177 PARANAPANEMA (SE)      
50  0,1483 PARANAPANEMA (SE)      
51  0,1288 PARANAPANEMA (SE)      
52  0,1489 PARANAPANEMA (SE)      
54  0                             
55  0                             
57  1,0494 PARANAPANEMA (S)       
58  0                             
61  0,3744 PARANAPANEMA (SE)      
62  0,2221 PARANAPANEMA (SE)      
63  0,1841 PARANAPANEMA (SE)      
65  0                             
66  1,0244 BAIXO PARANA           
70  0                             
71  0,8126 IGUACU                 
72  0,8307 IGUACU                 
73  0                             
74  1,0938 IGUACU                 
75  0,9040 IGUACU                  
76  0                             
77  0,8921 IGUACU                 
78  0,5747 IGUACU                 
80  0                             
81  0,1458 IGUACU                 
83  0                             
85  0                             
88  0                             
89  0,3691 URUGUAI                
92  0,9097 URUGUAI                
93  2,2252 URUGUAI                
94  0,4506 URUGUAI                
97  0,3541 JACUI                  
98  0,7676 JACUI                  
99  0,4021 PARANAIBA              
100 0 
101 1,7641 ITAJAI-ACU
102 0,1878 URUGUAI
103 0,2545 URUGUAI
104 0 
109 0 
110 0 
111 0,3682 JACUI
112 0,7951 JACUI
113 0,7554 JACUI
114 0,3356 JACUI
115 6,3542 CAPIVARI
116 0 
117 0 
118 0 
119 0 
120 0,5163 PARAIBA DO SUL
121 0,7007 PARAIBA DO SUL
122 0,3679 PARAIBA DO SUL
123 0,5575 PARAIBA DO SUL
125 0 
126 0,9762 PARAIBA DO SUL
127 0 
129 0 
130 0 
131 2,6871 PARAIBA DO SUL
132 0 
134 0,8020 DOCE
135 0 
141 0,1698 DOCE
144 0,1989 DOCE
145 0,5244 AMAZONAS (SE)
148 0,2558 DOCE
149 0,2711 DOCE
154 0,3071 BAIXO PARANA
155 0,3346 SAO FRANCISCO (SE)
156 0,4360 SAO FRANCISCO (SE)
158 1,6404 SAO FRANCISCO (SE)
160 0 
161 0 
164 0 
168 0 
169 0,2449 SAO FRANCISCO (NE)
171 0 
172 0,4425 SAO FRANCISCO (NE)
173 0 
175 0 
176 1,0213 SAO FRANCISCO (NE)
178 1,0781 SAO FRANCISCO (NE)
183 0,9364 DOCE
187 0 
188 0,7150 JEQUITINHONHA (NE)
190 0,3784 PARNAIBA
191 0,3868 TOCANTINS (SE)
196 1,6903 ITABAPOANA
197 1,1546 PARAIBA DO SUL
198 0,7164 PARAIBA DO SUL
199 0 
201 0 
202 0 
203 0 
204 0,1406 ARAGUARI
205 0,5836 PARANAIBA
206 0,6195 PARANAIBA
207 0,5114 PARANAIBA
209 0,6294 PARANAIBA
211 0,3549 GRANDE
215 1,4153 URUGUAI
216 1,6063 URUGUAI
217 0,8779 URUGUAI
220 0,5400 URUGUAI
222 0,5596 IGUACU
225 0 
227 0,2431 TELES PIRES
228 0,2078 TELES PIRES
229 0,5054 TELES PIRES
230 0,2267 TELES PIRES
237 0 
238 0 
239 0 
240 0 
241 0,3742 PARANAIBA
242 0 
243 0 
244 0 
245 0 
246 0 
247 0,2442 PARANAIBA
248 0,3214 PARANAIBA
249 0,0962 PARANAPANEMA (SE)
251 0,6489 PARANAIBA
252 1,2239 PARAGUAI
253 0,2149 TOCANTINS (SE)
254 0,9483 PARAGUACU
255 1,4533 JEQUITINHONHA (SE)
257 0,2408 TOCANTINS (SE)
258 0 
259 0,7685 PARAGUAI
261 0,2395 PARANAIBA
262 1,0066 DOCE
263 0,4155 DOCE
265 0 
266 0 
267 0 
269 0,2080 AMAZONAS (N)
270 1,0404 TOCANTINS (SE)
271 0,2110 TOCANTINS (N)
273 0,3315 TOCANTINS (SE)
274 0 
275 0,5496 TOCANTINS (N)
276 0 
277 0,1679 AMAZONAS (N)
278 0,5080 PARAGUAI
279 0,2762 AMAZONAS (SE)
280 0,1795 ARAGUARI
281 2,2106 PARAGUAI
282 0 
283 0,4495 MUCURI
284 0,3016 JACUI
285 0,1550 AMAZONAS (SE)
286 1,0350 URUGUAI
287 0,1589 AMAZONAS (SE)
288 0 
289 0 
290 0,2315 AMAZONAS (N)
291 0,8689 AMAZONAS (SE)
292 0,8032 XINGU
293 0 
294 0,4502 PARANAIBA
295 0,9297 PARAGUAI
296 1,5452 AMAZONAS (SE)
297 0,1499 ARAGUARI
298 0 
299 0,2702 PARAIBA DO SUL
301 0 
302 0,1163 XINGU
303 2,7014 PARAIBA DO SUL
304 0 
306 0,3233 PARAIBA DO SUL
313 0 
314 0 
315 0 
316 0 
317 0 
318 5,6808 ALTO TIETE
319 0 
320 0 
